tube,construct
F8,"[   28   108   167   179   185   286   322   364   373   381   389   597
   712   729   814   873   980  1009  1055  1092  1120  1232  1278  1343
  1348  1377  1495  1524  1895  1994  2013  2069  2078  2093  2221  2224
  2323  2456  2478  2506  2518  2524  2570  2780  2797  2886  2928  3014
  3068  3163  3165  3223  3273  3285  3307  3337  3452  3540  3580  3606
  3708  3723  3796  3925  3948  4102  4269  4274  4362  4493  4511  4582
  4585  4672  4685  4708  4727  4758  5014  5269  5359  5413  5435  5440
  5453  5519  5689  5988  6260  6317  6375  6380  6428  6458  6514  6618
  6711  6874  6896  7026  7241  7248  7384  7545  7602  7808  7841  7845
  8001  8041  8106  8108  8136  8215  8280  8281  8351  8369  8422  8427
  8430  8438  8574  8594  8613  8695  8735  8743  8758  8928  8999  9109
  9167  9176  9211  9237  9302  9489  9572  9629  9719  9796  9832  9843
  9849 10044 10162 10166 10190 10519 10663 10759 10764 10803 10948 10992
 11024 11035 11047 11197 11217 11370 11390 11499 11513 11642 11653 11659
 11775 11825 11911 12023 12079 12108 12281 12306 12361 12419 12470]"
F9,"[   28   108   167   185   223   238   286   322   364   373   381   389
   597   712   729   814   873   980  1016  1055  1063  1092  1114  1120
  1166  1207  1232  1278  1343  1348  1368  1377  1495  1524  1895  1994
  2069  2078  2089  2093  2109  2202  2224  2228  2323  2456  2478  2506
  2524  2570  2740  2780  2797  3014  3068  3163  3165  3223  3273  3285
  3307  3337  3452  3540  3580  3606  3708  3723  3750  3796  3925  3948
  3987  4102  4274  4362  4493  4511  4585  4672  4685  4708  4727  4758
  5014  5168  5269  5359  5413  5435  5440  5453  5478  5689  5988  6260
  6317  6380  6428  6458  6514  6618  6711  6874  6896  7026  7172  7248
  7261  7545  7602  7695  7808  7845  7910  7993  8041  8084  8106  8136
  8161  8215  8240  8280  8351  8369  8422  8427  8430  8438  8535  8574
  8594  8613  8695  8743  8758  8768  8928  8999  9109  9167  9176  9211
  9237  9302  9332  9489  9572  9629  9719  9796  9832  9843  9849 10027
 10044 10162 10164 10190 10387 10519 10663 10759 10764 10803 10919 10948
 10992 11024 11035 11036 11047 11197 11217 11246 11291 11302 11370 11390
 11499 11513 11526 11642 11653 11659 11775 11825 11863 12079 12108 12281
 12306 12320 12361 12419 12460]"
G1,"[   28   108   167   174   179   185   223   286   322   364   373   381
   389   597   625   712   729   814   852   873   980  1009  1016  1055
  1063  1092  1120  1166  1187  1207  1232  1278  1343  1348  1368  1377
  1442  1495  1524  1895  1994  2013  2069  2078  2089  2093  2109  2202
  2221  2224  2228  2323  2390  2456  2478  2506  2518  2524  2538  2543
  2570  2707  2740  2780  2797  2886  2928  2936  3014  3068  3163  3165
  3223  3273  3285  3307  3337  3452  3540  3580  3606  3708  3723  3750
  3796  3925  3936  3948  3987  3997  4097  4102  4115  4269  4274  4362
  4493  4511  4582  4585  4672  4685  4708  4727  4758  5014  5093  5214
  5269  5354  5359  5413  5435  5440  5453  5478  5519  5632  5689  5984
  5988  6069  6206  6260  6317  6375  6380  6428  6458  6514  6618  6711
  6874  6896  7026  7085  7172  7241  7248  7261  7384  7417  7487  7545
  7602  7695  7808  7841  7845  7910  8001  8041  8106  8108  8136  8161
  8215  8240  8280  8281  8351  8369  8422  8427  8430  8438  8535  8574
  8594  8613  8695  8718  8735  8743  8758  8776  8928  8999  9109  9167
  9176  9211  9237  9302  9332  9381  9421  9489  9572  9629  9719  9760
  9787  9796  9832  9843  9849 10027 10044 10162 10166 10190 10387 10519
 10663 10759 10764 10803 10919 10920 10948 10992 11024 11035 11047 11197
 11217 11246 11302 11370 11390 11499 11513 11526 11642 11653 11659 11663
 11775 11825 11863 11911 12023 12062 12079 12108 12281 12306 12320 12361
 12419 12460 12470]"
G2,"[   28   108   167   174   179   185   223   286   322   364   373   381
   389   597   712   729   814   852   873   980  1009  1055  1063  1092
  1120  1166  1187  1232  1278  1343  1348  1368  1377  1495  1524  1895
  1994  2013  2069  2078  2093  2109  2202  2221  2224  2228  2323  2390
  2456  2478  2506  2518  2524  2543  2570  2740  2780  2797  2886  2928
  2936  3014  3068  3163  3165  3223  3273  3285  3307  3337  3452  3540
  3580  3606  3708  3723  3750  3796  3925  3936  3948  3987  4097  4102
  4115  4269  4274  4362  4493  4511  4582  4585  4672  4685  4708  4727
  4758  5014  5093  5168  5214  5269  5359  5413  5435  5440  5453  5519
  5632  5689  5984  5988  6069  6206  6260  6317  6375  6380  6428  6458
  6514  6618  6711  6874  6896  7026  7085  7172  7241  7248  7384  7487
  7545  7602  7808  7841  7845  7910  8001  8041  8106  8108  8136  8161
  8178  8215  8240  8280  8281  8351  8369  8422  8427  8430  8438  8574
  8594  8613  8695  8735  8743  8758  8928  8999  9109  9167  9176  9211
  9237  9302  9332  9381  9489  9572  9629  9719  9796  9832  9843  9849
 10044 10162 10166 10190 10387 10519 10663 10759 10764 10803 10948 10992
 11024 11035 11036 11047 11197 11217 11370 11390 11499 11513 11642 11653
 11659 11663 11775 11825 11863 11911 12023 12079 12108 12281 12306 12361
 12412 12419 12460 12470]"
G3,"[   28   108   167   179   185   223   238   286   322   364   373   381
   389   597   712   729   814   873   980  1009  1016  1055  1063  1092
  1120  1166  1207  1232  1278  1343  1348  1377  1442  1495  1524  1895
  1994  2069  2078  2089  2093  2109  2202  2221  2224  2228  2323  2456
  2478  2506  2518  2524  2570  2740  2780  2797  2936  3014  3068  3163
  3165  3223  3273  3285  3307  3337  3452  3540  3580  3606  3708  3750
  3796  3925  3948  3987  4102  4274  4362  4511  4585  4672  4685  4708
  4727  4758  5014  5214  5269  5359  5413  5435  5440  5453  5478  5519
  5689  5984  5988  6206  6260  6317  6428  6458  6514  6618  6711  6874
  6896  7026  7172  7248  7261  7384  7417  7487  7545  7602  7695  7808
  7845  7993  8001  8041  8084  8106  8136  8161  8215  8240  8280  8281
  8351  8369  8422  8427  8430  8438  8535  8574  8594  8613  8695  8735
  8743  8758  8768  8928  8999  9109  9167  9176  9211  9237  9302  9332
  9489  9572  9719  9760  9787  9796  9832  9843  9849 10027 10044 10162
 10166 10190 10387 10519 10663 10759 10764 10803 10919 10948 10992 11024
 11035 11047 11197 11217 11291 11302 11370 11390 11499 11513 11526 11528
 11642 11653 11659 11775 11825 11863 12043 12079 12108 12281 12306 12361
 12413 12419 12460]"
G4,"[   28   108   167   185   238   286   322   364   373   381   389   597
   729   814   873   980  1009  1055  1092  1120  1166  1232  1278  1343
  1348  1377  1495  1524  1895  1994  2013  2069  2078  2093  2109  2202
  2224  2323  2456  2478  2506  2524  2570  2780  2797  2936  3014  3068
  3163  3165  3223  3273  3285  3307  3337  3452  3540  3580  3606  3708
  3723  3750  3796  3925  3948  3987  4102  4274  4362  4493  4511  4585
  4672  4685  4708  4727  4758  5014  5214  5269  5359  5413  5435  5440
  5453  5478  5519  5689  5988  6260  6317  6380  6428  6458  6514  6618
  6711  6874  6896  7026  7116  7130  7248  7261  7384  7487  7545  7602
  7695  7808  7845  7993  8001  8041  8084  8106  8136  8161  8178  8215
  8240  8280  8281  8351  8369  8422  8427  8430  8438  8574  8594  8613
  8695  8735  8743  8758  8768  8928  8999  9109  9167  9176  9211  9237
  9302  9332  9489  9572  9629  9719  9796  9832  9843  9849 10027 10044
 10162 10166 10190 10387 10519 10663 10759 10764 10803 10948 10992 11024
 11035 11047 11197 11217 11370 11390 11499 11513 11528 11642 11653 11659
 11775 11825 11863 12079 12108 12281 12306 12320 12361 12419]"
G5,"[   28   108   167   174   179   185   238   286   322   364   373   381
   389   597   625   691   712   729   814   822   873   980  1009  1055
  1063  1092  1120  1232  1278  1343  1348  1368  1377  1442  1495  1524
  1895  1994  2013  2069  2078  2093  2109  2202  2221  2224  2228  2323
  2456  2478  2506  2518  2524  2570  2780  2797  2886  2928  3014  3068
  3163  3165  3223  3273  3285  3307  3337  3452  3540  3580  3604  3606
  3708  3723  3750  3796  3925  3936  3948  3987  4097  4102  4115  4219
  4269  4274  4362  4493  4511  4582  4585  4672  4685  4708  4727  4758
  5014  5093  5214  5269  5359  5413  5435  5440  5453  5478  5519  5632
  5689  5984  5988  6069  6206  6260  6317  6375  6380  6428  6458  6514
  6618  6711  6874  6896  7026  7241  7248  7261  7384  7487  7545  7548
  7602  7808  7841  7845  8001  8041  8106  8108  8136  8215  8280  8281
  8351  8369  8422  8427  8430  8438  8574  8594  8613  8695  8735  8743
  8776  8928  8999  9109  9167  9176  9211  9237  9302  9489  9572  9629
  9719  9787  9796  9832  9843  9849 10044 10162 10166 10190 10519 10663
 10759 10764 10803 10948 10992 11024 11035 11047 11197 11217 11370 11390
 11499 11513 11642 11653 11659 11663 11775 11825 11863 11911 12023 12079
 12108 12281 12306 12320 12361 12419 12460 12470]"
G6,"[   28   108   167   179   185   223   238   286   322   364   373   381
   389   597   712   729   814   873   980  1009  1055  1092  1120  1166
  1232  1278  1343  1348  1377  1495  1524  1895  1994  2013  2069  2078
  2093  2109  2202  2224  2323  2456  2478  2506  2518  2524  2570  2740
  2780  2797  2936  3014  3068  3163  3165  3223  3273  3285  3307  3337
  3452  3540  3580  3606  3708  3723  3750  3796  3925  3948  3987  4102
  4269  4274  4362  4493  4511  4585  4672  4685  4708  4727  4758  5014
  5214  5269  5359  5413  5435  5440  5453  5478  5519  5689  5984  5988
  6206  6260  6317  6375  6380  6428  6458  6514  6618  6711  6874  6896
  7026  7085  7241  7248  7261  7384  7487  7545  7602  7695  7808  7845
  7993  8001  8041  8084  8106  8136  8161  8178  8215  8240  8280  8281
  8351  8369  8422  8427  8430  8438  8574  8594  8613  8695  8735  8743
  8758  8768  8928  8999  9109  9167  9176  9211  9237  9302  9332  9489
  9572  9629  9719  9796  9832  9843  9849 10027 10044 10124 10162 10166
 10190 10387 10519 10663 10759 10764 10803 10948 10992 11024 11035 11047
 11197 11217 11370 11390 11499 11513 11528 11642 11653 11659 11775 11825
 11863 11911 12079 12108 12281 12306 12320 12361 12419]"
G7,"[   28   108   167   179   185   286   322   364   373   381   389   597
   712   729   814   873   980  1009  1055  1063  1092  1120  1232  1278
  1343  1348  1377  1495  1524  1895  1994  2013  2069  2078  2093  2109
  2202  2224  2228  2323  2456  2478  2506  2518  2524  2570  2780  2797
  2936  3014  3068  3163  3165  3223  3273  3285  3307  3337  3452  3540
  3580  3606  3708  3723  3750  3796  3925  3948  3987  4097  4102  4269
  4274  4362  4493  4511  4585  4672  4685  4708  4727  4758  5014  5214
  5269  5359  5413  5435  5440  5453  5519  5689  5988  6260  6317  6380
  6428  6458  6514  6618  6711  6874  6896  7026  7172  7241  7248  7261
  7384  7417  7487  7545  7602  7695  7808  7845  7993  8001  8041  8106
  8136  8161  8178  8215  8240  8280  8281  8351  8369  8422  8427  8430
  8438  8574  8594  8613  8695  8735  8743  8758  8768  8928  8999  9109
  9167  9176  9211  9237  9302  9332  9489  9572  9629  9719  9796  9832
  9843  9849 10044 10162 10166 10190 10387 10519 10663 10759 10764 10803
 10948 10992 11024 11035 11047 11197 11217 11370 11390 11499 11513 11642
 11653 11659 11775 11825 11863 12079 12108 12281 12306 12361 12419]"
G8,"[   28   108   167   179   185   238   286   322   364   373   381   389
   597   712   729   814   873   980  1009  1055  1092  1120  1232  1278
  1343  1348  1377  1495  1524  1895  1994  2069  2078  2093  2109  2202
  2224  2323  2456  2478  2506  2518  2524  2570  2780  2797  2886  2936
  3014  3068  3163  3165  3223  3273  3285  3307  3337  3452  3540  3580
  3606  3708  3723  3750  3796  3925  3948  3987  4102  4269  4274  4362
  4493  4511  4585  4672  4685  4708  4727  4758  5014  5214  5269  5359
  5413  5435  5440  5453  5478  5519  5689  5988  6260  6317  6375  6380
  6428  6458  6514  6618  6711  6874  6896  7026  7241  7248  7261  7384
  7545  7602  7695  7808  7845  7993  8001  8041  8106  8136  8161  8215
  8240  8280  8281  8351  8369  8422  8427  8430  8438  8574  8594  8613
  8695  8735  8743  8758  8928  8999  9109  9167  9176  9211  9237  9302
  9489  9572  9629  9719  9787  9796  9832  9843  9849 10044 10162 10166
 10190 10387 10519 10663 10759 10764 10803 10948 10992 11024 11035 11047
 11197 11217 11370 11390 11499 11513 11642 11653 11659 11775 11825 11863
 11911 12079 12108 12281 12306 12320 12361 12419]"
G9,"[  167   185   238   286   322   364   373   381   389   597   667   712
   729   814   873   980  1009  1016  1055  1063  1092  1120  1166  1207
  1232  1278  1343  1348  1377  1495  1524  1895  1994  2069  2078  2093
  2202  2221  2224  2228  2323  2456  2506  2524  2570  2740  2780  2797
  2936  3014  3068  3163  3165  3273  3307  3452  3540  3580  3606  3708
  3750  3925  3948  3987  4102  4274  4362  4511  4672  4685  4708  4727
  4758  5014  5269  5359  5413  5440  5453  5478  5519  5689  5984  5988
  6206  6260  6317  6428  6458  6514  6618  6711  6896  7026  7172  7248
  7261  7384  7417  7487  7545  7602  7695  7808  7845  7910  7993  8041
  8084  8106  8136  8161  8215  8240  8280  8281  8351  8369  8427  8430
  8438  8535  8574  8594  8613  8695  8743  8758  8768  8928  8999  9109
  9167  9176  9211  9302  9332  9572  9719  9787  9796  9832  9843  9849
 10027 10044 10162 10519 10663 10759 10764 10803 10919 10948 10992 11024
 11035 11047 11197 11217 11302 11370 11390 11499 11513 11526 11642 11653
 11659 11775 11825 11863 12043 12079 12108 12281 12306 12361 12419 12460]"
H1,"[   28   108   167   174   179   185   286   322   364   373   381   389
   597   625   712   729   814   852   873   980  1009  1016  1055  1063
  1092  1120  1166  1187  1207  1232  1278  1343  1348  1368  1377  1442
  1495  1524  1895  1994  2013  2069  2078  2093  2109  2202  2221  2224
  2228  2323  2456  2478  2506  2518  2524  2538  2543  2570  2740  2780
  2797  2886  2928  3014  3068  3163  3165  3223  3273  3285  3307  3337
  3452  3540  3580  3606  3708  3723  3750  3796  3925  3936  3948  3987
  3997  4070  4097  4102  4115  4269  4274  4362  4493  4511  4582  4585
  4672  4685  4708  4727  4758  5014  5093  5168  5214  5269  5359  5413
  5435  5440  5453  5478  5519  5632  5689  5984  5988  6069  6206  6260
  6317  6375  6380  6428  6458  6514  6618  6711  6874  6896  7026  7085
  7172  7241  7248  7261  7384  7417  7487  7545  7602  7808  7841  7845
  7910  8001  8041  8084  8106  8108  8136  8161  8178  8215  8240  8280
  8281  8351  8369  8422  8427  8430  8438  8535  8574  8594  8613  8695
  8735  8743  8758  8776  8928  8999  9109  9167  9176  9211  9237  9302
  9332  9381  9489  9572  9629  9719  9796  9832  9843  9849 10044 10162
 10166 10190 10387 10519 10663 10759 10764 10803 10948 10992 11024 11035
 11047 11197 11217 11246 11302 11370 11390 11499 11513 11526 11642 11653
 11659 11663 11775 11825 11863 11911 12023 12043 12062 12079 12108 12281
 12306 12361 12412 12419 12460 12470]"
H2,"[   28   108   167   179   185   223   286   322   364   373   381   389
   597   625   712   729   814   852   873   980  1009  1016  1055  1063
  1092  1120  1166  1207  1232  1278  1343  1348  1377  1442  1495  1524
  1895  1988  1994  2013  2069  2078  2089  2093  2109  2221  2224  2228
  2456  2478  2506  2524  2538  2543  2570  2740  2780  2797  2886  2928
  3014  3068  3163  3165  3223  3273  3285  3307  3337  3452  3540  3580
  3606  3708  3723  3750  3796  3925  3948  3987  3997  4102  4274  4493
  4511  4672  4685  4708  4717  4727  4758  5014  5168  5214  5269  5359
  5413  5435  5440  5453  5478  5519  5632  5689  5988  6206  6260  6317
  6380  6428  6458  6514  6618  6711  6874  6896  7026  7172  7241  7248
  7417  7487  7545  7602  7808  7845  7910  8041  8106  8108  8215  8240
  8351  8369  8422  8427  8430  8438  8574  8594  8613  8695  8718  8743
  8776  8928  8999  9109  9167  9176  9211  9237  9302  9332  9489  9572
  9629  9719  9760  9787  9796  9832  9843  9849 10044 10162 10166 10190
 10387 10663 10759 10764 10803 10919 10920 10948 10992 11024 11035 11036
 11047 11197 11217 11291 11302 11370 11390 11499 11513 11526 11533 11642
 11653 11659 11775 11825 12043 12079 12108 12306 12320 12361 12413 12419
 12460]"
H3,"[   28   108   185   286   322   364   373   381   389   597   729   814
   873   980  1009  1055  1092  1120  1232  1278  1343  1348  1377  1495
  1524  1895  1994  2013  2069  2078  2093  2221  2224  2323  2456  2478
  2506  2524  2570  2780  2797  2886  3014  3068  3163  3165  3273  3307
  3540  3580  3606  3723  3750  3796  3925  3948  3987  4097  4274  4511
  4585  4672  4685  4708  4727  4758  5014  5269  5359  5413  5440  5453
  5478  5689  5988  6260  6375  6380  6428  6458  6514  6618  6711  6896
  7026  7241  7248  7545  7602  7808  7845  8041  8106  8136  8215  8351
  8422  8427  8430  8438  8574  8594  8613  8695  8735  8743  8928  8999
  9109  9167  9176  9211  9302  9489  9572  9629  9719  9796  9832  9843
  9849 10044 10162 10166 10190 10519 10663 10759 10764 10803 10948 10992
 11024 11035 11047 11197 11217 11370 11390 11499 11513 11642 11653 11659
 11825 11911 12079 12108 12281 12306 12361 12419]"
H4,"[   28   108   167   179   185   223   238   286   322   364   373   381
   389   597   625   712   729   814   852   873   980  1009  1016  1055
  1092  1120  1166  1207  1232  1278  1343  1348  1368  1377  1495  1524
  1895  1994  2013  2069  2078  2093  2109  2202  2221  2224  2228  2323
  2456  2478  2506  2518  2524  2570  2740  2780  2797  2886  2936  3014
  3068  3163  3165  3223  3273  3285  3307  3337  3452  3540  3580  3606
  3708  3723  3750  3796  3925  3948  3987  4097  4102  4269  4274  4362
  4493  4511  4585  4672  4685  4708  4727  4758  5014  5214  5269  5359
  5413  5435  5440  5453  5478  5519  5689  5984  5988  6206  6260  6317
  6380  6428  6458  6514  6618  6711  6874  6896  7026  7085  7116  7172
  7241  7248  7261  7384  7417  7487  7545  7602  7695  7808  7845  7910
  7993  8001  8041  8084  8106  8136  8161  8178  8215  8240  8280  8281
  8351  8369  8422  8427  8430  8438  8535  8574  8594  8613  8695  8735
  8743  8758  8768  8776  8928  8999  9109  9167  9176  9211  9237  9302
  9332  9421  9489  9572  9629  9719  9760  9787  9796  9832  9843  9849
 10027 10044 10124 10162 10166 10190 10387 10519 10614 10663 10759 10764
 10803 10948 10992 11024 11035 11047 11197 11217 11370 11390 11499 11513
 11528 11642 11653 11659 11775 11825 11863 11911 12079 12108 12281 12306
 12320 12361 12419 12460]"
H5,"[   28   108   167   185   286   322   364   381   389   597   729   814
   873   980  1009  1055  1092  1120  1232  1278  1343  1348  1368  1377
  1442  1495  1524  1895  1994  2013  2069  2078  2093  2221  2224  2323
  2456  2478  2506  2524  2570  2780  2797  2886  2928  3014  3068  3163
  3165  3273  3285  3307  3337  3540  3580  3606  3708  3723  3750  3796
  3925  3948  4102  4269  4274  4362  4511  4585  4672  4685  4727  4758
  5014  5269  5359  5413  5435  5440  5453  5478  5689  5988  6260  6380
  6428  6458  6514  6618  6711  6874  6896  7026  7241  7248  7545  7602
  7808  7841  7845  8041  8106  8108  8136  8215  8351  8369  8422  8427
  8430  8438  8574  8594  8613  8695  8735  8743  8928  8999  9109  9167
  9176  9211  9237  9302  9489  9572  9629  9719  9796  9832  9843  9849
 10044 10162 10166 10190 10663 10759 10764 10803 10948 10992 11024 11035
 11047 11197 11370 11390 11499 11513 11642 11653 11659 11775 11825 11911
 12023 12108 12306 12361 12419]"
H6,"[   28   108   167   179   185   286   322   364   373   381   389   597
   625   712   729   814   873   980  1009  1055  1063  1092  1120  1207
  1232  1278  1343  1348  1377  1442  1495  1524  1895  1994  2069  2078
  2093  2109  2140  2202  2221  2224  2228  2323  2456  2478  2506  2524
  2570  2740  2780  2797  2886  3014  3068  3163  3165  3273  3285  3307
  3452  3540  3580  3606  3708  3723  3750  3796  3925  3948  3987  4102
  4274  4511  4585  4672  4685  4708  4727  4758  5014  5269  5359  5413
  5440  5453  5478  5519  5689  5984  5988  6206  6260  6317  6380  6428
  6458  6514  6618  6711  6896  7026  7241  7248  7261  7384  7417  7487
  7545  7602  7808  7845  8001  8041  8106  8136  8161  8215  8240  8280
  8281  8351  8422  8427  8430  8438  8535  8574  8594  8613  8695  8735
  8743  8768  8928  8999  9109  9167  9176  9211  9302  9489  9572  9719
  9760  9787  9796  9832  9843  9849 10044 10162 10166 10190 10519 10663
 10759 10764 10803 10948 10992 11024 11035 11047 11197 11211 11217 11370
 11390 11499 11513 11526 11642 11653 11659 11775 11825 11863 12023 12043
 12062 12079 12108 12281 12306 12361 12419 12460]"
H7,"[   28   167   185   286   322   373   381   389   597   712   729   814
   873   980  1009  1055  1063  1092  1120  1232  1278  1343  1348  1377
  1495  1524  1895  1994  2069  2078  2093  2202  2224  2228  2323  2456
  2506  2518  2524  2570  2780  2797  2936  3014  3068  3163  3165  3223
  3273  3285  3307  3337  3452  3540  3580  3606  3708  3796  3925  3948
  4102  4274  4362  4493  4511  4585  4672  4685  4708  4727  4758  5014
  5269  5359  5413  5435  5440  5453  5519  5988  6260  6317  6428  6458
  6514  6618  6711  6874  6896  7026  7172  7384  7417  7487  7545  7695
  7808  7845  7993  8041  8106  8136  8161  8215  8240  8280  8281  8351
  8369  8422  8427  8430  8438  8574  8594  8695  8743  8758  8768  8928
  8999  9109  9167  9176  9211  9237  9302  9332  9572  9629  9719  9796
  9832  9843  9849 10044 10162 10190 10387 10519 10663 10759 10764 10803
 10948 10992 11024 11035 11047 11197 11217 11370 11390 11499 11513 11528
 11642 11653 11659 11775 11825 12079 12108 12281 12306 12361 12419]"
H8,"[  108   179   185   286   322   364   373   381   389   597   712   729
   814   852   873   980  1009  1055  1063  1092  1120  1207  1232  1278
  1343  1348  1377  1495  1524  1895  1994  2013  2069  2078  2089  2093
  2109  2140  2224  2228  2456  2478  2506  2518  2524  2570  2740  2780
  2797  2886  2928  2936  3014  3068  3163  3165  3223  3273  3285  3307
  3337  3452  3540  3580  3606  3723  3750  3796  3925  3936  3948  3987
  4097  4102  4274  4511  4582  4585  4672  4685  4708  4727  4758  5014
  5106  5214  5269  5359  5413  5435  5440  5453  5519  5689  5988  6206
  6260  6317  6375  6380  6428  6458  6514  6618  6711  6874  6896  7026
  7085  7172  7241  7248  7384  7417  7487  7545  7602  7808  7845  7993
  8001  8041  8106  8215  8240  8280  8281  8351  8369  8422  8427  8430
  8438  8574  8594  8613  8695  8735  8743  8758  8768  8928  8999  9109
  9167  9176  9211  9237  9302  9332  9489  9572  9719  9760  9787  9796
  9832  9843  9849 10044 10124 10162 10190 10387 10663 10759 10764 10803
 10919 10948 10992 11024 11035 11047 11197 11217 11302 11370 11390 11499
 11526 11528 11642 11653 11659 11775 11825 11911 12023 12043 12062 12079
 12108 12306 12361 12419]"
H9,"[   28   108   167   179   185   223   286   322   364   373   381   389
   597   625   712   729   814   852   873   980  1009  1055  1063  1092
  1120  1166  1232  1278  1343  1348  1368  1377  1495  1524  1895  1994
  2013  2069  2078  2093  2109  2202  2221  2224  2228  2323  2456  2478
  2506  2518  2524  2543  2570  2740  2780  2797  2886  2928  2936  3014
  3068  3163  3165  3223  3273  3285  3307  3337  3452  3540  3580  3606
  3708  3723  3750  3796  3925  3948  4097  4102  4115  4269  4274  4362
  4493  4511  4585  4672  4685  4708  4727  4758  5014  5168  5214  5269
  5359  5413  5435  5440  5453  5478  5519  5632  5689  5988  6069  6206
  6260  6317  6380  6428  6458  6514  6618  6711  6874  6896  7026  7085
  7172  7241  7248  7384  7417  7487  7545  7602  7808  7845  7910  7993
  8001  8041  8106  8108  8136  8178  8215  8240  8280  8281  8351  8369
  8422  8427  8430  8438  8574  8594  8613  8695  8735  8743  8758  8768
  8928  8999  9109  9167  9176  9211  9237  9302  9332  9489  9572  9629
  9719  9796  9832  9843  9849 10044 10162 10166 10190 10387 10663 10759
 10764 10803 10919 10920 10948 10992 11024 11035 11036 11047 11197 11217
 11302 11370 11390 11499 11513 11528 11642 11653 11659 11775 11825 11911
 12023 12079 12108 12281 12306 12320 12361 12419]"
